№,Фраза,"Показы (broad, снимок 30 дн)",Форм слито,Тип,Пиллар,Интент,Класс,Пол,Предмет,Гео,Сезон,Asset,Флаг,Сиды
91,колледж тюмень официальный,17884,1,top,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
92,самые востребованные профессии,17617,3,top,E,info,—,—,—,—,flat,main,,b03_kem_mozhno_stat;e02_vostrebovannye;p01_proforientaciya
93,после какого класса поступают в колледж,17500,2,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
94,поступление в вуз после колледжа,17343,1,assoc,C,info,—,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
95,куда можно поступить после колледжа,17321,3,top,C,info,—,—,—,—,июнь-июль,main,,c03_professii_posle_9;c04_professii_posle_11;c05_postupit_v_kolledzh
96,сайт колледжей тюмени,17202,1,top,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
97,колледж красноярск 9 класс,17199,2,top,C,info,9,—,—,красноярск,июнь-июль,aggregator,,g01_kolledzhi_krasnoyarsk
98,поступить в колледж без егэ,16783,2,top,C,info,—,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
99,школа профессий,16736,1,assoc,C,info,—,—,—,—,июнь-июль,main,,c03_professii_posle_9
100,колледж тюмень официальный сайт,16671,1,top,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
101,кем можно стать,16390,2,top,B,info,—,—,—,—,март-апр,main,,b03_kem_mozhno_stat
102,куда можно поступить с биологией,16312,2,top,C,info,—,—,биология,—,июнь-июль,main,,c12_s_biologiej
103,какую профессию выбрать,16130,2,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
104,колледжи иркутска после 9,16082,1,top,C,info,9,—,—,иркутск,июнь-июль,aggregator,,g05_kolledzhi_irkutsk
105,онлайн тестирование,15520,1,assoc,D,commercial,—,—,—,—,сент-окт,main,,d03_test_online
106,колледжи воронежа после 9,15510,1,top,C,info,9,—,—,воронеж,июнь-июль,aggregator,,g03_kolledzhi_voronezh
107,востребованные профессии в россии,15482,1,top,E,info,—,—,—,—,flat,main,,e02_vostrebovannye
108,кем пойти работать,15201,3,top,B,info,—,—,—,—,март-апр,main,,b06_kem_pojti_rabotat
109,куда поступать девушкам после 9,14601,1,top,C,info,9,f,—,—,июнь-июль,main,,c08_kuda_postupat_devushke
110,куда поступить 9 класса девушке,14216,1,top,C,info,9,f,—,—,июнь-июль,main,,c08_kuda_postupat_devushke
111,куда поступить с русским и обществознанием,14176,1,top,C,info,—,—,обществознание,—,июнь-июль,main,,c10_s_obschestvoznaniem
112,куда поступать после 9 класса девушке,14147,2,top,C,info,9,f,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9;c08_kuda_postupat_devushke
113,колледж иркутск 9 классов,14063,2,top,C,info,9,—,—,иркутск,июнь-июль,aggregator,,g05_kolledzhi_irkutsk
114,поступил в колледж на специальность,13825,1,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
115,после 11 можно поступить в колледж,13472,3,top,C,info,11,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
116,в колледж можно поступить на бюджет,13364,2,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
117,в какой колледж поступить после 9,13306,1,top,C,info,9,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
118,колледжи воронежа 9 класс,13196,2,top,C,info,9,—,—,воронеж,июнь-июль,aggregator,,g03_kolledzhi_voronezh
119,куда поступить после 9 класса на бюджет,12914,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
120,техникум тюмень,12599,1,assoc,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
121,какое образование после 11,12440,1,assoc,C,info,11,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
122,куда поступать с географией,12403,1,top,C,info,—,—,география,—,июнь-июль,main,,c16_s_geografiej
123,it специальности,12262,2,assoc,C,info,—,—,—,—,июнь-июль,main,,c13_s_informatikoj;e04_professii_buduschego
124,куда поступать после 11 с обществознанием,12250,1,top,C,info,11,—,обществознание,—,июнь-июль,main,,c10_s_obschestvoznaniem
125,куда поступать с физикой,12246,1,top,C,info,—,—,физика,—,июнь-июль,main,,c15_s_fizikoj
126,айти специальности,12210,2,assoc,C,info,—,—,—,—,июнь-июль,main,,c13_s_informatikoj;e04_professii_buduschego
127,куда поступить с информатикой,12094,1,top,C,info,—,—,информатика,—,июнь-июль,main,,c13_s_informatikoj
128,колледж тиу тюмень,12073,1,top,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
129,медицинский колледж тюмень,11956,1,top,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
130,тест на прл,11739,1,assoc,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu
131,на кого поступать после 11,11718,1,assoc,C,info,11,—,—,—,июнь-июль,main,,c03_professii_posle_9
132,после колледжа можно поступить в институт,11501,3,top,C,info,—,—,—,—,июнь-июль,main,,c03_professii_posle_9;c05_postupit_v_kolledzh
133,сайты колледжи красноярска,11333,1,top,C,info,—,—,—,красноярск,июнь-июль,aggregator,,g01_kolledzhi_krasnoyarsk
134,можно поступить в колледж после 11 класса,11317,1,top,C,info,11,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
135,куда можно поступить с химией,11206,1,top,C,info,—,—,химия,—,июнь-июль,main,,c14_s_himiej
136,колледж технологий тюмень,11157,1,top,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
137,поступают ли в колледж после вуза,10952,1,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
138,в какой колледж поступить после 9 класса,10905,1,top,C,info,9,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
139,куда поступать с химией и биологией,10836,2,top,C,info,—,—,биология,—,июнь-июль,main,,c12_s_biologiej;c14_s_himiej
140,колледжи красноярск официальный сайт,10832,1,top,C,info,—,—,—,красноярск,июнь-июль,aggregator,,g01_kolledzhi_krasnoyarsk
141,поступить после 9 класса профессии,10778,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
142,тест на профориентацию бесплатно,10749,7,top,D,commercial,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu;d02_test_besplatno;p01_proforientaciya;p05_prof_9_klass
143,куда поступить после 9 класса мальчику,10730,1,top,C,info,9,m,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
144,можно поступить в колледж без егэ,10633,2,top,C,info,—,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
145,колледж 11 тюмень,10610,2,top,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
146,поступить в колледж в москве,10602,2,top,C,info,—,—,—,москв,июнь-июль,aggregator,,c05_postupit_v_kolledzh
