№,Фраза,"Показы (broad, снимок 30 дн)",Форм слито,Тип,Пиллар,Интент,Класс,Пол,Предмет,Гео,Сезон,Asset,Флаг,Сиды
3063,какая профессия мне подходит по дате,49,1,top,B,info,—,—,—,—,март-апр,main,,b05_kakaya_professiya_podhodit
3064,куда поступить на маркетолога после 11 класса,49,1,top,C,info,11,—,—,—,июнь-июль,main,,c02_kuda_postupat_posle_11
3065,профориентация для учеников 9 класса,49,1,top,0,info,9,—,—,—,сент-окт,main,,p05_prof_9_klass
3066,краевой центр профориентации и развития квалификаций,49,1,top,0,commercial,—,—,—,—,сент-окт,main,,p07_centr_proforientacii
3067,красноярский краевой центр профориентации и развития квалификаций,49,1,top,0,commercial,—,—,—,красноярск,сент-окт,aggregator,,p07_centr_proforientacii
3068,красноярский центр профориентации и развития,49,1,top,0,commercial,—,—,—,красноярск,сент-окт,aggregator,,p07_centr_proforientacii
3069,красноярский центр профориентации и развития квалификаций,49,1,top,0,commercial,—,—,—,красноярск,сент-окт,aggregator,,p07_centr_proforientacii
3070,центр профориентации московского метрополитена,49,1,top,0,commercial,—,—,—,моск,сент-окт,aggregator,,p07_centr_proforientacii
3071,куда поступить после 11 класса калькулятор егэ,48,1,top,C,info,11,—,—,—,июнь-июль,main,,c02_kuda_postupat_posle_11
3072,мчс куда поступать после 9 девушке,48,1,top,C,info,9,f,—,—,июнь-июль,main,,c08_kuda_postupat_devushke
3073,пройти тест на выбор профессии онлайн бесплатно,48,1,top,D,commercial,—,—,—,—,сент-окт,main,,d06_test_na_vybor_professii
3074,какую ребенку можно выбрать профессию,47,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3075,какая профессия подходит мне по дате рождения,47,1,top,B,info,—,—,—,—,март-апр,main,,b05_kakaya_professiya_podhodit
3076,куда поступить на косметолога после 11 класса,47,1,top,C,info,11,—,—,—,июнь-июль,main,,c02_kuda_postupat_posle_11
3077,менеджер куда поступать после 11 класса,47,1,top,C,info,11,—,—,—,июнь-июль,main,,c02_kuda_postupat_posle_11
3078,тест на профориентацию для подростков бесплатно онлайн,47,5,top,D,commercial,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu;d02_test_besplatno;d03_test_online;p02_prof_dlya_podrostkov;p04_prof_online
3079,тест на профориентацию грейс,47,1,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu
3080,профориентация для подростков обучение,47,1,top,0,info,—,—,—,—,сент-окт,main,,p02_prof_dlya_podrostkov
3081,экскурсии профориентации для школьников,47,1,top,0,info,—,—,—,—,сент-окт,main,,p03_prof_dlya_shkolnikov
3082,центр профориентации метро,47,1,top,0,commercial,—,—,—,—,сент-окт,main,,p07_centr_proforientacii
3083,какую профессию выбрать физмату,46,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3084,какую профессию выбрать парню после 11,46,1,top,C,info,11,m,—,—,июнь-июль,main,,b01_kakuyu_professiyu_vybrat
3085,какую профессию выбрать после 11 класса парню,46,1,top,C,info,11,m,—,—,июнь-июль,main,,b01_kakuyu_professiyu_vybrat
3086,как узнать какую профессию выбрать,46,2,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat;b02_kak_vybrat_professiyu
3087,как выбрать творческую профессию,46,1,top,B,info,—,—,—,—,март-апр,main,,b02_kak_vybrat_professiyu
3088,как заставить жителя выбрать профессию,46,1,top,B,info,—,—,—,—,март-апр,main,,b02_kak_vybrat_professiyu
3089,куда поступить в мурманске после 11 класса,46,1,top,C,info,11,—,—,мурманск,июнь-июль,aggregator,,c02_kuda_postupat_posle_11
3090,куда поступать после 11 класса в беларуси,46,1,top,C,info,11,—,—,—,июнь-июль,main,,c02_kuda_postupat_posle_11
3091,куда поступать девушкам в военные училища,46,1,top,C,info,—,f,—,—,июнь-июль,main,,c08_kuda_postupat_devushke
3092,центр профориентации тест,46,1,top,D,commercial,—,—,—,—,сент-окт,main,,p07_centr_proforientacii
3093,профориентация для ребенка онлайн,45,2,top,A,commercial,—,—,—,—,сент-окт,main,,a04_prof_dlya_rebenka;p04_prof_online
3094,профориентация для детей раннего возраста,45,1,top,0,info,—,—,—,—,сент-окт,main,,a04_prof_dlya_rebenka
3095,форум какую профессию выбрать,45,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3096,какую выбрать профессию рыбе,45,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3097,совет как выбрать профессию,45,1,top,B,info,—,—,—,—,март-апр,main,,b02_kak_vybrat_professiyu
3098,как выбрать будущую профессию подростку,45,1,top,B,info,—,—,—,—,март-апр,main,,b02_kak_vybrat_professiyu
3099,как выбрать свое дело профессия,45,1,top,B,info,—,—,—,—,март-апр,main,,b02_kak_vybrat_professiyu
3100,какая творческая профессия мне подходит тест,45,1,top,D,info,—,—,—,—,сент-окт,main,,b05_kakaya_professiya_podhodit
3101,кем стать после 9 класса парню,45,1,top,C,info,9,m,—,—,июнь-июль,main,,c07_kem_stat_posle_9
3102,куда можно поступить после 11 парню,45,1,top,C,info,11,m,—,—,июнь-июль,main,,c09_kuda_postupat_parnyu
3103,выбор профессии тест на профессиональную ориентацию,45,1,top,D,info,—,—,—,—,сент-окт,main,,d06_test_na_vybor_professii
3104,как помочь выбрать профессию подростку,44,1,top,A,info,—,—,—,—,сент-окт,main,,a02_kak_pomoch_podrostku
3105,какую гуманитарную профессию выбрать,44,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3106,какую профессию выбрать 40,44,2,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3107,ддо опросник климова онлайн,44,1,top,D,info,—,—,—,—,сент-окт,main,,d09_ddo_klimova
3108,диагностика профориентации 9 класс,44,1,top,0,info,9,—,—,—,сент-окт,main,,p05_prof_9_klass
3109,проект какую профессию выбрать,43,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3110,яндекс какую профессию выбрать,43,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3111,какую профессию выбрать по дате рождения,43,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3112,как определить какая профессия мне подходит,43,1,top,B,info,—,—,—,—,март-апр,main,,b05_kakaya_professiya_podhodit
3113,куда поступить после 11 класса в майкопе,43,1,top,C,info,11,—,—,—,июнь-июль,main,,c02_kuda_postupat_posle_11
3114,наталья грейс тест на профориентацию,43,1,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu
3115,тест на профориентацию для школьников 6,43,2,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu;p03_prof_dlya_shkolnikov
3116,тест на профориентацию для школьников 6 класс,43,2,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu;p03_prof_dlya_shkolnikov
3117,тест на профориентацию точный бесплатно,43,2,top,D,commercial,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu;d02_test_besplatno
3118,адукар тест на профориентацию,43,1,top,D,nav,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu
3119,тест онлайн профориентация ддо климов,43,2,top,D,commercial,—,—,—,—,сент-окт,main,,d09_ddo_klimova;p04_prof_online
3120,тест климова ддо пройти онлайн,43,1,top,D,commercial,—,—,—,—,сент-окт,main,,d09_ddo_klimova
3121,диагностика ддо климова,43,1,top,D,info,—,—,—,—,сент-окт,main,,d09_ddo_klimova
3122,какую профессию выбрать в вов,42,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3123,какую профессию выбрать люблю рисовать,42,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3124,самый лучший тест на профориентацию,42,1,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu
3125,тест на профориентацию человек техника,42,1,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu
3126,профориентация для школьников и подростков,42,2,top,0,info,—,—,—,—,сент-окт,main,,p02_prof_dlya_podrostkov;p03_prof_dlya_shkolnikov
3127,план по профориентации на 2025 2026,42,1,top,0,info,—,—,—,—,сент-окт,main,,p08_proforientaciya_2026
3128,профориентация ребенка тест онлайн,41,3,top,D,commercial,—,—,—,—,сент-окт,main,,a04_prof_dlya_rebenka;d03_test_online;p04_prof_online
3129,какая сфера профессий мне подходит,41,1,top,B,info,—,—,—,—,март-апр,main,,b05_kakaya_professiya_podhodit
3130,куда выгодно поступать после 11 класса,41,1,top,C,info,11,—,—,—,июнь-июль,main,,c02_kuda_postupat_posle_11
3131,подробный тест на профориентацию,41,1,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu
3132,тест на профориентацию для подростков 14 лет,41,2,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu;p02_prof_dlya_podrostkov
3133,тест на тип профориентации,41,1,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu
3134,тест профессиональный тип личности дж голланда,41,1,top,D,info,—,—,—,—,сент-окт,main,,d07_test_gollanda
3135,тест дж голланда на определение профессионального,41,1,top,D,info,—,—,—,—,сент-окт,main,,d07_test_gollanda
3136,ддо климова вопросы,41,1,top,D,info,—,—,—,—,сент-окт,main,,d09_ddo_klimova
3137,ранняя профориентации для школьников,41,1,top,0,info,—,—,—,—,сент-окт,main,,p03_prof_dlya_shkolnikov
3138,алиса какую профессию выбрать,40,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3139,какую профессию выбрать с биологией,40,1,top,B,info,—,—,биология,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3140,какая айти профессия мне подходит,40,1,top,B,info,—,—,—,—,март-апр,main,,b05_kakaya_professiya_podhodit
3141,тест на профориентацию школа,40,1,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu
3142,тест на профориентацию в колледж,40,1,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu
3143,тесты на профориентацию сайт,40,1,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu
3144,тест джона голланда,40,1,top,D,info,—,—,—,—,сент-окт,main,,d07_test_gollanda
3145,вопросы для профориентации школьников,40,1,top,0,info,—,—,—,—,сент-окт,main,,p03_prof_dlya_shkolnikov
3146,тестирование на профориентацию для учеников 9 класса,40,1,top,D,info,9,—,—,—,сент-окт,main,,p05_prof_9_klass
3147,профориентация для детей 10 лет,39,1,top,0,info,—,—,—,—,сент-окт,main,,a04_prof_dlya_rebenka
3148,профориентация для детей 12 лет,39,1,top,0,info,—,—,—,—,сент-окт,main,,a04_prof_dlya_rebenka
3149,стардью валлей какие профессии выбирать,39,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3150,стардью валли какие профессии выбирать,39,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3151,какую профессию программирования выбрать,39,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3152,как проходит тест на профориентацию,39,2,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu;d04_projti_test
3153,тест резапкина на профориентацию,39,1,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu
3154,тест потемкиной на профориентацию,39,1,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu
3155,тест профориентации онлайн 7 класс,39,2,top,D,commercial,—,—,—,—,сент-окт,main,,d03_test_online;p04_prof_online
3156,вопросы для профориентации подростков,39,1,top,0,info,—,—,—,—,сент-окт,main,,p02_prof_dlya_podrostkov
3157,курсы по профориентации для школьников,39,1,top,0,info,—,—,—,—,сент-окт,main,,p03_prof_dlya_shkolnikov
3158,профориентация в школе 9 класс,39,1,top,0,info,9,—,—,—,сент-окт,main,,p05_prof_9_klass
3159,какую профессию выбрать художнику,38,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3160,какую профессию выбрать видео,38,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3161,куда легче всего поступить после 11 класса,38,1,top,C,info,11,—,—,—,июнь-июль,main,,c02_kuda_postupat_posle_11
3162,куда поступать на полицейского после 11 класса,38,1,top,C,info,11,—,—,—,июнь-июль,main,,c02_kuda_postupat_posle_11
3163,куда можно поступить девушке на военную специальность,38,1,top,C,info,—,f,—,—,июнь-июль,main,,c08_kuda_postupat_devushke
3164,тест на профориентацию человек природа,38,1,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu
3165,расшифровка теста голланда,38,2,top,D,info,—,—,—,—,сент-окт,main,,d07_test_gollanda
3166,план профориентации 2026 2027 учебный год,38,1,top,0,info,—,—,—,—,сент-окт,main,,p08_proforientaciya_2026
3167,какую профессию выбрать после школы,37,1,top,B,info,11,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3168,какую профессию выбрать мальчику после 11 класса,37,1,top,C,info,11,m,—,—,июнь-июль,main,,b01_kakuyu_professiyu_vybrat
3169,какую профессию выбрать для удаленной работы,37,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3170,тест на профориентацию отзывы,37,1,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu
3171,быстрый тест на профориентацию,37,1,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu
3172,тест ддо климова по профориентации пройти,37,1,top,D,commercial,—,—,—,—,сент-окт,main,,d09_ddo_klimova
3173,онлайн тестирование на профориентацию,37,1,top,D,commercial,—,—,—,—,сент-окт,main,,p04_prof_online
3174,профориентация тест онлайн бесплатно 7 класс,37,1,top,D,commercial,—,—,—,—,сент-окт,main,,p04_prof_online
3175,какую профессию выбрать раку,36,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3176,натальная карта какую профессию выбрать,36,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3177,какие профессии выбирает молодежь,36,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3178,тест дж голланда определение профессионального типа,36,1,top,D,info,—,—,—,—,сент-окт,main,,d07_test_gollanda
3179,профориентация для детей обучение,35,1,top,0,info,—,—,—,—,сент-окт,main,,a04_prof_dlya_rebenka
3180,какую ит профессию выбрать,35,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3181,работа россии тест на профориентацию,35,1,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu
3182,тест на профориентацию в москве,35,1,top,D,info,—,—,—,москв,сент-окт,aggregator,,d01_test_na_proforientaciyu
3183,тест на профориентацию на специальность,35,1,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu
3184,короткий тест на профориентацию,35,1,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu
3185,тест подростку на выбор профессии,35,1,top,D,info,—,—,—,—,сент-окт,main,,d06_test_na_vybor_professii
3186,профориентация для школьников тестирование бесплатно,35,1,top,D,commercial,—,—,—,—,сент-окт,main,,p03_prof_dlya_shkolnikov
3187,отзывы какую профессию выбрать,34,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3188,какую профессию выбрать таро,34,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3189,какая профессия мне подходит uquiz,34,1,top,B,info,—,—,—,—,март-апр,main,,b05_kakaya_professiya_podhodit
3190,какая профессия мне подходит тест uquiz,34,1,top,D,info,—,—,—,—,сент-окт,main,,b05_kakaya_professiya_podhodit
3191,кем стать девочке после 9 класса,34,1,top,C,info,9,f,—,—,июнь-июль,main,,c07_kem_stat_posle_9
3192,куда поступить девушке в военный вуз,34,1,top,C,info,—,f,—,—,июнь-июль,main,,c08_kuda_postupat_devushke
3193,тест ддо климова по профориентации пройти онлайн,34,2,top,D,commercial,—,—,—,—,сент-окт,main,,d09_ddo_klimova;p04_prof_online
3194,профориентация ярославль для школьников,34,1,top,0,info,—,—,—,ярославл,сент-окт,aggregator,,p03_prof_dlya_shkolnikov
3195,программа профориентации в школе 2025 2026,34,1,top,0,info,—,—,—,—,сент-окт,main,,p08_proforientaciya_2026
3196,козерог какую профессию выбрать,33,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3197,какие профессии выбрать девушке после колледжа,33,1,top,C,info,—,f,—,—,июнь-июль,both,,b01_kakuyu_professiyu_vybrat
3198,какую профессию выбрать 2025,33,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3199,карьер тест на профориентацию,33,1,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu
3200,тест на профориентацию учащихся,33,1,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu
3201,голомшток тест на профориентацию,33,1,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu
3202,тест на профориентацию для 10 класса,33,1,top,D,info,10,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu
3203,профориентация для школьников пройти тест,33,1,top,D,commercial,—,—,—,—,сент-окт,main,,p03_prof_dlya_shkolnikov
3204,тестирование на профориентацию для школьников 9,33,1,top,D,info,—,—,—,—,сент-окт,main,,p03_prof_dlya_shkolnikov
3205,классные часы профориентация 9 класс,33,1,top,0,info,9,—,—,—,сент-окт,main,,p05_prof_9_klass
3206,беседа профориентация 9 класс,33,1,top,0,info,9,—,—,—,сент-окт,main,,p05_prof_9_klass
3207,тест какую профессию выбрать после 11,32,1,top,D,info,11,—,—,—,сент-окт,main,,b01_kakuyu_professiyu_vybrat
3208,какую it профессию выбрать с нуля,32,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3209,какую военную профессию выбрать,32,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3210,стрелец какую профессию выбрать,32,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3211,бесплатный тест на профориентацию ребенка,32,2,top,D,commercial,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu;d02_test_besplatno
3212,тест на профориентацию дж,32,1,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu
3213,тест на профориентацию личности,32,1,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu
3214,профориентация для подростков мероприятие,32,1,top,0,info,—,—,—,—,сент-окт,main,,p02_prof_dlya_podrostkov
3215,профориентация методики для подростков,32,1,top,0,info,—,—,—,—,сент-окт,main,,p02_prof_dlya_podrostkov
3216,профориентация новосибирск для школьников,32,1,top,0,info,—,—,—,новосибирск,сент-окт,aggregator,,p03_prof_dlya_shkolnikov
3217,какую профессию выбрать если сдаешь физику,31,1,top,B,info,—,—,физика,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3218,как понять какую профессию выбрать тест,31,1,top,D,info,—,—,—,—,сент-окт,main,,b01_kakuyu_professiyu_vybrat
3219,какую профессию выбрать тельцам,31,2,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3220,какая профессия мне подходит для мужчин,31,1,top,B,info,—,—,—,—,март-апр,main,,b05_kakaya_professiya_podhodit
3221,тест какая профессия мне подходит для мужчин,31,1,top,D,info,—,—,—,—,сент-окт,main,,b05_kakaya_professiya_podhodit
3222,сделать тест на профориентацию,31,1,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu
3223,skypro тест на профориентацию,31,1,top,D,nav,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu
3224,тест на профориентацию бесплатно 6 класс,31,1,top,D,commercial,—,—,—,—,сент-окт,main,,d02_test_besplatno
3225,психологический тест на выбор профессии,31,1,top,D,info,—,—,—,—,сент-окт,main,,d06_test_na_vybor_professii
3226,профориентация 9 класс москва,31,1,top,0,info,9,—,—,москв,сент-окт,aggregator,,p05_prof_9_klass
3227,какую выбрать профессию в медицине,30,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3228,какую профессию выбрать магу,30,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3229,гороскоп какую профессию выбрать,30,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3230,какую выбрать интернет профессию,30,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3231,тест профориентация какая профессия мне подходит,30,1,top,D,info,—,—,—,—,сент-окт,main,,b05_kakaya_professiya_podhodit
3232,мвд куда поступать после 11 девушке,30,1,top,C,info,11,f,—,—,июнь-июль,main,,c08_kuda_postupat_devushke
3233,куда поступать на следователя девушке,30,1,top,C,info,—,f,—,—,июнь-июль,main,,c08_kuda_postupat_devushke
3234,куда можно поступить после школы девушке,30,1,top,C,info,11,f,—,—,июнь-июль,main,,c08_kuda_postupat_devushke
3235,темы по профориентации для детей,29,1,top,0,info,—,—,—,—,сент-окт,main,,a04_prof_dlya_rebenka
3236,wow какие профессии выбрать,29,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3237,текст какая профессия мне подходит,29,1,top,B,info,—,—,—,—,март-апр,main,,b05_kakaya_professiya_podhodit
3238,тест голланда holland code,29,1,top,D,info,—,—,—,—,сент-окт,main,,d07_test_gollanda
3239,ддо климов азбель,29,1,top,D,info,—,—,—,—,сент-окт,main,,d09_ddo_klimova
3240,профориентация темы для школьников,29,1,top,0,info,—,—,—,—,сент-окт,main,,p03_prof_dlya_shkolnikov
3241,профориентация для школьников отзывы,29,1,top,0,info,—,—,—,—,сент-окт,main,,p03_prof_dlya_shkolnikov
3242,профориентация мгу онлайн,29,1,top,0,commercial,—,—,—,—,сент-окт,main,,p04_prof_online
3243,какую профессию выбрать тест на профессию бесплатно,28,1,top,D,commercial,—,—,—,—,сент-окт,main,,b01_kakuyu_professiyu_vybrat
3244,какую профессию выбирать знакам зодиака,28,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3245,какие профессии выбирают психопаты,28,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3246,какую профессию выбрать весам,28,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3247,какую профессию выбрать если любишь математику,28,1,top,B,info,—,—,математика,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3248,водолей какую профессию выбрать,28,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3249,тест какую профессию выбрать после 11 класса,28,1,top,D,info,11,—,—,—,сент-окт,main,,b01_kakuyu_professiyu_vybrat
3250,куда лучше всего поступить парню,28,1,top,C,info,—,m,—,—,июнь-июль,main,,c09_kuda_postupat_parnyu
3251,тест на профориентацию бесплатно 14 лет,28,1,top,D,commercial,—,—,—,—,сент-окт,main,,d02_test_besplatno
3252,лучший тест на профориентацию бесплатно,28,1,top,D,commercial,—,—,—,—,сент-окт,main,,d02_test_besplatno
3253,икигай тест на профориентацию и выбор профессии,28,1,top,D,info,—,—,—,—,сент-окт,main,,d06_test_na_vybor_professii
3254,профориентация программа для подростков,28,1,top,0,info,—,—,—,—,сент-окт,main,,p02_prof_dlya_podrostkov
3255,профориентация для школьников билет в будущее,28,1,top,0,nav,—,—,—,—,сент-окт,main,,p03_prof_dlya_shkolnikov
3256,профориентация иркутск для школьников,28,1,top,0,info,—,—,—,иркутск,сент-окт,aggregator,,p03_prof_dlya_shkolnikov
3257,платформа профориентации для школьников,28,1,top,0,info,—,—,—,—,сент-окт,main,,p03_prof_dlya_shkolnikov
3258,родительское собрание 9 класс профориентация,28,1,top,A,info,9,—,—,—,сент-окт,main,,p05_prof_9_klass
3259,профориентация мероприятия 9 класс,28,1,top,0,info,9,—,—,—,сент-окт,main,,p05_prof_9_klass
3260,профориентация темы 2025 2026,28,1,top,0,info,—,—,—,—,сент-окт,main,,p08_proforientaciya_2026
3261,какую айти профессию выбрать в 2026,27,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3262,яндекс практикум какую профессию выбрать,27,1,top,B,nav,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3263,какую профессию выбрать сочинение,27,1,top,B,info,—,—,—,сочи,март-апр,aggregator,,b01_kakuyu_professiyu_vybrat
3264,бесплатный тест на профориентацию самый точный,27,1,top,D,commercial,—,—,—,—,сент-окт,main,,d02_test_besplatno
3265,skillbox тест на профориентацию бесплатно,27,1,top,D,nav,—,—,—,—,сент-окт,main,,d02_test_besplatno
3266,тест на профориентацию дж голланда,27,1,top,D,info,—,—,—,—,сент-окт,main,,d07_test_gollanda
3267,диагностика ддо е а климова,27,1,top,D,info,—,—,—,—,сент-окт,main,,d09_ddo_klimova
3268,мероприятия по профориентации для школьников,27,1,top,0,info,—,—,—,—,сент-окт,main,,p03_prof_dlya_shkolnikov
3269,центр профориентации для школьников в москве,27,1,top,0,commercial,—,—,—,москв,сент-окт,aggregator,,p03_prof_dlya_shkolnikov
3270,тестирование на профориентацию для школьников 9 класс,27,2,top,D,info,9,—,—,—,сент-окт,main,,p03_prof_dlya_shkolnikov;p05_prof_9_klass
3271,тестирование по профориентации 9 класс,27,1,top,D,info,9,—,—,—,сент-окт,main,,p05_prof_9_klass
3272,профориентация для детей 7 лет,26,1,top,0,info,—,—,—,—,сент-окт,main,,a04_prof_dlya_rebenka
3273,тест на профориентацию для ребенка бесплатно,26,1,top,D,commercial,—,—,—,—,сент-окт,main,,a04_prof_dlya_rebenka
3274,какую профессию выбрать творческому человеку,26,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3275,тестирование какая профессия мне подходит,26,1,top,D,info,—,—,—,—,сент-окт,main,,b05_kakaya_professiya_podhodit
3276,тест йовайши на профориентацию пройти,26,1,top,D,commercial,—,—,—,—,сент-окт,main,,d04_projti_test
3277,тест на выбор будущей профессии для школьников,26,1,top,D,info,—,—,—,—,сент-окт,main,,d06_test_na_vybor_professii
3278,модификация теста голланда,26,1,top,D,info,—,—,—,—,сент-окт,main,,d07_test_gollanda
3279,профориентация для школьников официальный сайт,26,1,top,0,info,—,—,—,—,сент-окт,main,,p03_prof_dlya_shkolnikov
3280,профориентация для школьников краснодар,26,1,top,0,info,—,—,—,краснодар,сент-окт,aggregator,,p03_prof_dlya_shkolnikov
3281,тест на профориентацию для школьников 10,26,1,top,D,info,—,—,—,—,сент-окт,main,,p03_prof_dlya_shkolnikov
3282,тест на профориентацию для школьников 10 класс,26,1,top,D,info,10,—,—,—,сент-окт,main,,p03_prof_dlya_shkolnikov
3283,онлайн проект профориентация,26,1,top,0,commercial,—,—,—,—,сент-окт,main,,p04_prof_online
3284,профориентация для детей 14 лет,25,1,top,0,info,—,—,—,—,сент-окт,main,,a04_prof_dlya_rebenka
3285,пройти тест какую профессию выбрать,25,1,top,D,commercial,—,—,—,—,сент-окт,main,,b01_kakuyu_professiyu_vybrat
3286,какие профессии выбрать охотнику,25,1,top,B,info,—,—,—,—,март-апр,main,,b01_kakuyu_professiyu_vybrat
3287,куда можно поступить девушке в военное училище,25,1,top,C,info,—,f,—,—,июнь-июль,main,,c08_kuda_postupat_devushke
3288,методика ддо климова онлайн,25,1,top,D,info,—,—,—,—,сент-окт,main,,d09_ddo_klimova
3289,цель профориентации для подростков,25,1,top,0,info,—,—,—,—,сент-окт,main,,p02_prof_dlya_podrostkov
